,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",0.916290731874,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",1.83258146375,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",1.3625778345,"[[0, -1, -1], [1, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",2.27886856638,"[[-1, 0, -1, -1], [1, 1, 1, -1], [1, 2, 3, -1]]"
4,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",3.19515929825,"[[-1, -1, 0, -1, -1], [1, 1, 1, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",4.11145003013,"[[1, -1, 0, -1, -1, -1], [1, 1, 1, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",3.64144640088,"[[1, 0, 0, -1, -1, -1, -1], [1, 1, 1, 1, -1, -1, -1], [0, 1, 2, 3, -1, -1, -1]]"
7,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 0], [1, 1, 1, 1, 1]]",5.94403149387,"[[1, -1, 0, 0, -1, -1, -1, -1], [1, 0, 1, 1, 1, -1, -1, -1], [0, 0, 1, 2, 3, -1, -1, -1]]"
8,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1]]","[[1, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",7.87402786463,"[[1, -1, 0, -1, 0, -1, -1, -1, -1], [1, 0, 0, 1, 1, 1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1]]"
9,"[[1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1]]","[[0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 1, 1]]",7.61772987426,"[[0, 1, 0, -1, 0, -1, -1, -1, -1, -1], [1, 0, 0, 1, 1, 1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1, -1]]"
10,"[[1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 1]]","[[0, 1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 1]]",6.34772624502,"[[0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1], [1, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1, -1, -1]]"
11,"[[1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1, 1]]","[[0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 1, 1, 1]]",8.06401697689,"[[0, 1, -1, 1, 0, 0, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 2, 3, -1, -1, -1, -1, -1]]"
12,"[[1, 0, 0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 1]]","[[0, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 1]]",9.78030770876,"[[0, 1, -1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1]]"
13,"[[1, 1, 0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 1]]",8.51030407952,"[[0, 0, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1]]"
14,"[[1, 1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 1]]",7.24030045027,"[[0, 0, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
15,"[[1, 1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 1, 1]]",8.15659118215,"[[0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
16,"[[1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]",9.87288191402,"[[0, 0, 1, -1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
17,"[[1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]",10.2028782848,"[[0, 0, 1, 1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1]]"
18,"[[1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]",8.93287465553,"[[0, 0, 1, 1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
19,"[[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]",9.8491653874,"[[0, 0, 1, 1, -1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
20,"[[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",10.7654561193,"[[0, 0, 1, 1, -1, 1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
21,"[[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]",13.0680412123,"[[0, 0, 1, 1, -1, 1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
22,"[[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",13.398037583,"[[0, 0, 1, 1, -1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
