,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[1], [1]]","[[0], [1]]",0.916290731874,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",1.83258146375,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.74887219562,"[[0, -1, -1], [0, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [0, 0, 1]]","[[0, 0, 0], [0, 0, 1]]",4.67886856638,"[[-1, 0, -1, -1], [0, 0, 1, -1], [1, 2, 3, -1]]"
4,"[[0, 0, 1, 1], [0, 0, 0, 1]]","[[1, 1, 0, 0], [0, 0, 0, 1]]",5.59515929825,"[[1, -1, 0, -1, -1], [-1, 0, 0, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[0, 1, 1, 1], [0, 0, 0, 1]]","[[1, 0, 0, 0], [0, 0, 0, 1]]",5.92515566901,"[[1, 0, 0, -1, -1, -1], [-1, 0, 0, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1]]","[[1, 1, 1, 0, 0], [0, 0, 0, 1, 1]]",6.627740762,"[[1, 0, 1, -1, -1, -1, -1], [-1, 0, 0, 1, 1, -1, -1], [0, 1, 2, 2, 3, -1, -1]]"
7,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1]]",8.93032585499,"[[1, 0, -1, 1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1]]"
8,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1]]",9.26032222575,"[[1, 0, -1, 1, 1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1]]"
9,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1]]",8.7903185965,"[[1, 0, -1, 1, 1, 0, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1]]","[[1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",10.2929036895,"[[1, 0, -1, 1, 1, -1, 0, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1]]"
11,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0]]",12.3817831436,"[[1, 0, -1, 1, 1, -1, 0, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, -1, -1, -1, -1]]"
12,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0]]",13.2980738755,"[[1, 0, -1, 1, 1, -1, 0, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 0, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 4, -1, -1, -1, -1]]"
13,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0]]","[[1, 1, 1, 1, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 0]]",14.055481524,"[[1, 0, -1, 1, 1, -1, 0, 1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 4, -1, -1, -1, -1, -1]]"
14,"[[0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1]]",13.958066617,"[[1, 0, -1, 1, 1, -1, 0, 1, 0, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 4, -1, -1, -1, -1, -1, -1]]"
15,"[[0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0]]","[[1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0]]",14.5017686266,"[[1, 0, -1, 1, 1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1]]"
16,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]","[[1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0]]",15.4180593585,"[[1, 0, -1, 1, 0, 1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1]]"
17,"[[0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]]",15.3206444515,"[[1, 0, -1, 1, 0, 1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1]]"
18,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",16.2369351834,"[[1, 0, -1, 1, 0, 1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1]]"
19,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",15.7669315541,"[[1, 0, 1, 1, 0, 1, -1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
20,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",15.2969279249,"[[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
21,"[[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",15.8406299345,"[[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
22,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",16.7569206664,"[[1, 0, 1, 1, 0, 1, 1, -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
