,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",1.29098418132,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.78263905809,"[[0, -1], [-1, 0], [0, 1]]"
2,"[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",2.68732887829,"[[0, -1, -1], [0, 0, -1], [0, 1, -1]]"
3,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.79268939395,"[[0, 0, -1, -1], [0, 0, -1, -1], [0, 1, -1, -1]]"
4,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",4.08367357526,"[[0, 0, -1, -1, -1], [0, 0, 1, -1, -1], [0, 1, 2, -1, -1]]"
