,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,1,3,2,1
1,south,0,4,3,0
2,north,1,3,4,0
3,south,0,4,3,0
4,north,1,3,4,0
5,south,0,4,3,0
6,north,0,3,4,1
7,north,1,2,3,0
8,north,0,1,2,0
9,south,0,2,1,1
10,south,0,3,2,0
11,south,0,4,3,0
12,north,0,3,4,1
13,north,1,2,3,0
14,south,0,3,2,0
15,north,0,2,3,1
16,south,1,3,2,1
17,north,1,2,3,0
18,south,1,3,2,1
19,north,0,2,3,1
20,south,1,3,2,1
21,north,1,2,3,0
22,south,0,3,2,0
23,south,0,4,3,0
24,north,0,3,4,1
25,north,0,2,3,1
26,south,1,3,2,1
27,north,1,2,3,0
28,south,0,3,2,0
29,south,1,4,3,1
30,north,0,3,4,1
31,north,0,2,3,1
32,south,1,3,2,1
33,north,0,2,3,1
34,south,0,3,2,0
35,north,0,2,3,1
36,north,0,1,2,0
37,south,1,2,1,0
38,south,0,3,2,0
39,north,0,2,3,1
40,south,1,3,2,1
41,north,0,2,3,1
42,south,0,3,2,0
