,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[1], [1]]","[[0], [1]]",1.0498221245,"[[-1], [1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.099644249,"[[-1, -1], [1, 1], [1, 2]]"
2,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",3.1494663735,"[[-1, -1, -1], [1, 1, 1], [0, 1, 2]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",3.66029199726,"[[0, -1, -1, -1], [0, 1, 1, -1], [0, 1, 2, -1]]"
4,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",4.71011412176,"[[0, -1, -1, -1, -1], [0, 1, 1, 1, -1], [0, 0, 1, 2, -1]]"
5,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",5.22093974553,"[[0, -1, 0, -1, -1, -1], [0, 1, 0, 1, -1, -1], [0, 0, 1, 2, -1, -1]]"
6,"[[0, 1, 1, 1], [0, 1, 1, 1]]","[[1, 0, 0, 0], [0, 1, 1, 1]]",5.23716964852,"[[1, 0, 0, -1, -1, -1, -1], [0, 1, 0, 1, -1, -1, -1], [0, 0, 1, 2, -1, -1, -1]]"
7,"[[0, 1, 1, 1, 1], [0, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0], [0, 1, 1, 1, 1]]",7.1342896334,"[[1, 0, -1, 0, -1, -1, -1, -1], [0, 1, 0, 0, 1, -1, -1, -1], [0, 0, 0, 1, 2, -1, -1, -1]]"
8,"[[0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1]]",8.1841117579,"[[1, 0, -1, 0, -1, -1, -1, -1, -1], [0, 1, 0, 0, 1, 1, -1, -1, -1], [0, 0, 0, 1, 1, 2, -1, -1, -1]]"
9,"[[0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1]]",7.84763952128,"[[1, 0, 1, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 0, 1, 1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 2, -1, -1, -1, -1]]"
10,"[[0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1]]",8.35846514505,"[[1, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 0, 1, 1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 2, -1, -1, -1, -1, -1]]"
11,"[[0, 1, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1]]","[[1, 0, 0, 1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 1]]",9.26639368838,"[[1, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 2, -1, -1, -1, -1, -1]]"
12,"[[0, 1, 1, 0, 0, 1, 1, 1], [0, 1, 1, 0, 0, 0, 1, 1]]","[[1, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0, 1, 1]]",10.9162158129,"[[1, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 2, -1, -1, -1, -1, -1]]"
13,"[[0, 1, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 1, 1]]",10.9689350178,"[[1, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1]]"
14,"[[0, 1, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 1, 1]]",10.6324627812,"[[1, 0, 0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1]]"
15,"[[0, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1]]","[[1, 0, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 1, 1]]",11.2930934641,"[[1, 0, 0, 0, -1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1]]"
16,"[[0, 1, 1, 1, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]",12.3429155886,"[[1, 0, 0, 0, -1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1]]"
17,"[[0, 1, 1, 1, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]",12.006443352,"[[1, 0, 0, 0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1]]"
18,"[[0, 1, 1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]",11.0699711154,"[[1, 0, 0, 0, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
19,"[[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]",12.1197932399,"[[1, 0, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
20,"[[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]",13.7696153644,"[[1, 0, 0, 0, 1, -1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
21,"[[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]",14.0331431278,"[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
22,"[[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]]",13.6966708912,"[[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
23,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]]",14.1464930156,"[[1, 0, 0, 0, 0, 1, -1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
24,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",14.5963151401,"[[1, 0, 0, 0, 0, 1, -1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
25,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]",14.8598429035,"[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
26,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]",14.5233706669,"[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
27,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",15.5731927914,"[[1, 0, 0, 0, 0, 1, 1, -1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
28,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]",16.6230149159,"[[1, 0, 0, 0, 0, 1, 1, -1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
29,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]",16.2865426793,"[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
30,"[[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]","[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]]",15.9500704427,"[[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
