,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",0.916290731874,"[[0], [-1]]"
1,"[[1, 1], [1, 0]]","[[0, 0], [1, 0]]",2.83258146375,"[[0, -1], [-1, 0], [1, 2]]"
2,"[[1, 1], [1, 0]]","[[0, 0], [1, 0]]",2.3625778345,"[[0, -1, -1], [1, 0, -1], [1, 2, -1]]"
3,"[[1, 0], [1, 0]]","[[0, 1], [1, 0]]",1.89257420526,"[[0, 1, -1, -1], [1, 0, -1, -1], [1, 2, -1, -1]]"
4,"[[1, 0, 0], [1, 0, 0]]","[[0, 1, 1], [1, 0, 0]]",2.80886493713,"[[0, 1, 1, -1, -1], [1, -1, 0, -1, -1], [1, 1, 2, -1, -1]]"
5,"[[1, 0, 0, 1], [1, 0, 0, 1]]","[[0, 1, 1, 0], [1, 0, 0, 1]]",4.72515566901,"[[0, 1, 1, -1, -1, -1], [1, -1, 0, 1, -1, -1], [1, 1, 2, 2, -1, -1]]"
6,"[[1, 0, 0, 0, 0], [1, 0, 0, 0, 0]]","[[0, 1, 1, 1, 1], [1, 0, 0, 0, 0]]",6.027740762,"[[0, 1, 1, -1, -1, -1, -1], [1, -1, 0, 1, 0, -1, -1], [1, 1, 2, 2, 3, -1, -1]]"
7,"[[1, 0, 0, 1, 1], [1, 0, 0, 1, 0]]","[[0, 1, 1, 0, 0], [1, 0, 0, 1, 0]]",6.17144277163,"[[0, 1, 1, 0, -1, -1, -1, -1], [1, -1, 0, 1, 0, -1, -1, -1], [1, 1, 2, 2, 3, -1, -1, -1]]"
8,"[[1, 0, 0, 1, 1], [1, 0, 0, 1, 0]]","[[0, 1, 1, 0, 0], [1, 0, 0, 1, 0]]",5.70143914239,"[[0, 1, 1, 0, 0, -1, -1, -1, -1], [1, -1, 0, 1, 0, -1, -1, -1, -1], [1, 1, 2, 2, 3, -1, -1, -1, -1]]"
9,"[[1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0]]","[[0, 1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 0]]",6.61772987426,"[[0, 1, 1, 0, -1, 0, -1, -1, -1, -1], [1, -1, 0, 1, 1, 0, -1, -1, -1, -1], [1, 1, 2, 2, 2, 3, -1, -1, -1, -1]]"
10,"[[1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1, 1]]","[[0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 1, 1, 1, 1]]",7.92031496726,"[[0, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1], [1, -1, 0, 1, 1, 0, 1, -1, -1, -1, -1], [1, 1, 2, 2, 2, 3, 3, -1, -1, -1, -1]]"
11,"[[1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1]]","[[0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1]]",7.95031133801,"[[0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1], [1, -1, 0, 0, 1, 0, 1, -1, -1, -1, -1, -1], [1, 1, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1]]"
12,"[[1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1]]","[[0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1]]",7.48030770876,"[[0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1], [1, 0, 0, 0, 1, 0, 1, -1, -1, -1, -1, -1, -1], [1, 1, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1]]"
