,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[0], [0]]","[[1], [0]]",1.0498221245,"[[1], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.94694210938,"[[1, 0], [-1, -1], [1, 2]]"
2,"[[0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0]]",3.99676423388,"[[1, 0, -1], [-1, -1, 0], [1, 2, 3]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",4.50758985765,"[[1, 0, -1, -1], [-1, 1, 0, -1], [1, 2, 3, -1]]"
4,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",4.17111762103,"[[1, 0, 0, -1, -1], [-1, 1, 0, -1, -1], [1, 2, 3, -1, -1]]"
5,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",5.87364188514,"[[1, 0, -1, 0, -1, -1], [-1, 0, 1, 0, -1, -1], [1, 2, 2, 3, -1, -1]]"
6,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",5.53716964852,"[[1, 0, -1, 0, -1, -1, -1], [0, 0, 1, 0, -1, -1, -1], [1, 2, 2, 3, -1, -1, -1]]"
7,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",5.2006974119,"[[1, 0, 0, 0, -1, -1, -1, -1], [0, 0, 1, 0, -1, -1, -1, -1], [1, 2, 2, 3, -1, -1, -1, -1]]"
8,"[[0, 1, 1, 1, 1], [0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 0], [0, 0, 1, 1, 1]]",6.2505195364,"[[1, 0, 0, 0, -1, -1, -1, -1, -1], [0, 0, 1, 0, 1, -1, -1, -1, -1], [1, 2, 2, 3, 3, -1, -1, -1, -1]]"
9,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1]]","[[1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1]]",6.80034166089,"[[1, 1, 0, -1, 0, -1, -1, -1, -1, -1], [0, 0, 1, 1, 0, 1, -1, -1, -1, -1], [1, 2, 2, 2, 3, 3, -1, -1, -1, -1]]"
10,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1]]",7.85016378539,"[[1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1], [0, -1, 0, 1, 1, 0, 1, -1, -1, -1, -1], [1, 1, 2, 2, 2, 3, 3, -1, -1, -1, -1]]"
