,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",0.694147680894,"[[0], [-1]]"
1,"[[1, 1], [1, 0]]","[[0, 0], [1, 0]]",2.58829536179,"[[0, -1], [-1, 0], [0, 1]]"
2,"[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",1.89614868156,"[[0, -1, -1], [0, 0, -1], [0, 1, -1]]"
3,"[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",1.20400200133,"[[0, 0, -1, -1], [0, 0, -1, -1], [0, 1, -1, -1]]"
4,"[[1, 1, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0]]",2.49814968223,"[[0, 0, -1, -1, -1], [0, 0, 0, -1, -1], [0, 1, 2, -1, -1]]"
5,"[[1, 1, 1, 1], [0, 0, 1, 0]]","[[0, 0, 0, 0], [0, 0, 1, 0]]",4.39229736312,"[[0, 0, -1, -1, -1, -1], [0, 0, 1, 0, -1, -1], [0, 1, 1, 2, -1, -1]]"
6,"[[1, 1, 1, 0], [0, 0, 1, 0]]","[[0, 0, 0, 1], [0, 0, 1, 0]]",3.7001506829,"[[0, 0, -1, 1, -1, -1, -1], [0, 0, 1, 0, -1, -1, -1], [0, 1, 1, 2, -1, -1, -1]]"
7,"[[1, 1, 1, 0], [0, 0, 1, 0]]","[[0, 0, 0, 1], [0, 0, 1, 0]]",3.00800400267,"[[0, 0, 0, 1, -1, -1, -1, -1], [0, 0, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, -1, -1, -1, -1]]"
8,"[[1, 1, 1, 0, 1], [0, 0, 1, 0, 1]]","[[0, 0, 0, 1, 0], [0, 0, 1, 0, 1]]",4.90215168356,"[[0, 0, 0, 1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, -1, -1, -1, -1]]"
9,"[[1, 1, 1, 0, 0, 1], [0, 0, 1, 0, 0, 1]]","[[0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 0, 1]]",5.59629936446,"[[0, 0, 0, -1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, -1, -1, -1, -1]]"
10,"[[1, 1, 1, 0, 0, 1], [0, 0, 1, 0, 0, 0]]","[[0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0]]",4.90415268423,"[[0, 0, 0, -1, 1, 0, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, -1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, -1, -1, -1, -1, -1]]"
11,"[[1, 1, 1, 0, 0, 1], [0, 0, 1, 0, 0, 0]]","[[0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 0, 0]]",4.212006004,"[[0, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, -1, -1, -1, -1, -1, -1]]"
12,"[[1, 1, 1, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1]]","[[0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 1]]",5.5061536849,"[[0, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, 2, -1, -1, -1, -1, -1, -1]]"
13,"[[1, 1, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1]]","[[0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 1, 1]]",6.20030136579,"[[0, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1]]"
14,"[[1, 1, 1, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 1, 1]]","[[0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 1, 1]]",4.90815468556,"[[0, 0, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
15,"[[1, 1, 1, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1]]",5.60230236646,"[[0, 0, 0, 1, -1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
16,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1]]",8.09645004735,"[[0, 0, 0, 1, -1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
17,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1]]",7.40430336712,"[[0, 0, 0, 1, -1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1]]"
18,"[[1, 1, 1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1]]",6.7121566869,"[[0, 0, 0, 1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
19,"[[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]]",7.40630436779,"[[0, 0, 0, 1, -1, 1, 1, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
20,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]]",8.10045204869,"[[0, 0, 0, 1, -1, 1, 1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
21,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]]",8.00830536846,"[[0, 0, 0, 1, 1, 1, 1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
22,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]]",7.91615868823,"[[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
23,"[[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]]",8.61030636913,"[[0, 0, 0, 1, 1, -1, 1, 1, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
24,"[[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]]","[[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]]",8.70445405002,"[[0, 0, 0, 1, 1, -1, 1, 1, 1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]]"
