,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",1.0498221245,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.099644249,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.61046987276,"[[0, -1, -1], [0, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",4.50758985765,"[[-1, 0, -1, -1], [0, 0, 1, -1], [1, 2, 3, -1]]"
4,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",5.55741198215,"[[-1, -1, 0, -1, -1], [1, 0, 0, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",6.06823760591,"[[1, -1, 0, -1, -1, -1], [1, 0, 0, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",5.73176536929,"[[1, 0, 0, -1, -1, -1, -1], [1, 0, 0, 1, -1, -1, -1], [0, 1, 2, 3, -1, -1, -1]]"
7,"[[0, 0, 1, 1, 1], [0, 0, 0, 0, 1]]","[[1, 1, 0, 0, 0], [0, 0, 0, 0, 1]]",7.48699177302,"[[1, -1, 0, 0, -1, -1, -1, -1], [1, 0, 0, 0, 1, -1, -1, -1], [0, 0, 1, 2, 3, -1, -1, -1]]"
8,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0]]",8.67870747868,"[[1, -1, 0, -1, 0, -1, -1, -1, -1], [1, 0, 0, 0, 0, 1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1]]"
9,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1]]",9.8339338824,"[[1, -1, 0, -1, 0, -1, -1, -1, -1, -1], [1, 0, 0, 0, 0, 1, 1, -1, -1, -1], [0, 0, 1, 1, 2, 2, 3, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1]]",9.49746164578,"[[1, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1], [1, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 2, 3, -1, -1, -1, -1]]"
11,"[[0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1]]","[[1, 1, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1]]",8.56098940916,"[[1, -1, 0, -1, 1, 0, 0, -1, -1, -1, -1, -1], [1, 0, 0, 0, 0, 1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1]]"
