,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",1.0498221245,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.94694210938,"[[0, -1], [-1, 0], [3, 4]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.61046987276,"[[0, -1, -1], [1, 0, -1], [3, 4, -1]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",3.66029199726,"[[-1, 0, -1, -1], [1, 1, 0, -1], [2, 3, 4, -1]]"
4,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",5.55741198215,"[[-1, -1, 0, -1, -1], [0, 1, 1, 0, -1], [1, 2, 3, 4, -1]]"
5,"[[0, 0, 1, 1, 1], [0, 0, 1, 1, 1]]","[[1, 1, 0, 0, 0], [0, 0, 1, 1, 1]]",7.35993624626,"[[1, -1, -1, 0, -1, -1], [-1, 0, 1, 1, 0, -1], [0, 1, 2, 3, 4, -1]]"
6,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 0], [1, 1, 1, 1, 1]]",7.11805973041,"[[1, 0, -1, 0, -1, -1, -1], [-1, 0, 1, 1, 0, -1, -1], [0, 1, 2, 3, 4, -1, -1]]"
7,"[[0, 1, 1, 1, 1], [0, 0, 1, 1, 1]]","[[1, 0, 0, 0, 0], [0, 0, 1, 1, 1]]",7.48699177302,"[[1, 0, -1, 0, -1, -1, -1, -1], [0, 0, 1, 1, 0, -1, -1, -1], [0, 1, 2, 3, 4, -1, -1, -1]]"
8,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1]]","[[1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1]]",7.73681389752,"[[1, 1, -1, -1, 0, -1, -1, -1, -1], [0, 0, 1, 1, 1, 0, -1, -1, -1], [0, 1, 1, 2, 3, 4, -1, -1, -1]]"
9,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1]]",8.78663602201,"[[1, 1, 1, -1, -1, 0, -1, -1, -1, -1], [0, -1, 0, 1, 1, 1, 0, -1, -1, -1], [0, 0, 1, 1, 2, 3, 4, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1]]",9.25016378539,"[[1, 1, 1, 1, -1, 0, -1, -1, -1, -1, -1], [0, -1, 0, 1, 1, 1, 0, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, 4, -1, -1, -1, -1]]"
11,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0]]",9.05558512993,"[[1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1], [0, -1, 0, 1, 0, 1, 0, -1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, 4, -1, -1, -1, -1, -1]]"
12,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0]]",10.1054072544,"[[1, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1], [0, -1, 0, 1, 0, 0, 1, 0, -1, -1, -1, -1, -1], [0, 0, 1, 1, 1, 2, 3, 4, -1, -1, -1, -1, -1]]"
13,"[[0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1]]",11.8606336582,"[[1, 1, 1, 1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1], [0, -1, 0, 1, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1], [0, 0, 1, 1, 1, 2, 2, 3, 4, -1, -1, -1, -1, -1]]"
