,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,0,2,1,1
1,south,0,3,2,0
2,north,1,2,3,0
3,south,0,3,2,0
4,south,0,4,3,0
5,north,0,3,4,1
6,north,1,2,3,0
7,south,0,3,2,0
8,north,0,2,3,1
9,north,0,1,2,0
10,south,0,2,1,1
11,south,0,3,2,0
12,north,0,2,3,1
13,north,0,1,2,0
14,south,1,2,1,0
15,north,0,1,2,0
16,south,0,2,1,1
17,south,0,3,2,0
18,north,0,2,3,1
19,north,0,1,2,0
20,south,0,2,1,1
21,south,0,3,2,0
22,north,0,2,3,1
23,north,0,1,2,0
24,south,1,2,1,0
25,north,1,1,2,1
26,south,1,2,1,0
27,north,0,1,2,0
28,south,0,2,1,1
29,north,0,1,2,0
30,south,1,2,1,0
31,north,0,1,2,0
32,south,0,2,1,1
33,north,1,1,2,1
34,south,0,2,1,1
35,north,1,1,2,1
36,south,0,2,1,1
37,north,0,1,2,0
38,south,0,2,1,1
39,south,1,3,2,1
40,north,0,2,3,1
41,south,1,3,2,1
42,north,0,2,3,1
43,south,0,3,2,0
44,north,0,2,3,1
45,north,1,1,2,1
46,south,0,2,1,1
47,north,1,1,2,1
48,south,0,2,1,1
49,north,0,1,2,0
50,south,0,2,1,1
51,south,0,3,2,0
52,north,0,2,3,1
53,north,1,1,2,1
54,south,1,2,1,0
55,north,0,1,2,0
56,south,0,2,1,1
57,north,1,1,2,1
58,south,0,2,1,1
59,north,0,1,2,0
60,south,0,2,1,1
