,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,0,2,1,1
1,south,0,3,2,0
2,north,0,2,3,1
3,north,0,1,2,0
4,south,0,2,1,1
5,south,0,3,2,0
6,north,0,2,3,1
