,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,0,3,2,0
1,north,0,2,3,1
2,north,0,1,2,0
3,south,1,2,1,0
4,north,1,1,2,1
5,north,1,0,1,1
6,south,0,1,0,1
7,north,0,0,1,0
8,south,0,1,0,1
9,north,1,0,1,1
10,south,0,1,0,1
11,north,0,0,1,0
12,south,0,1,0,1
13,south,0,2,1,1
14,north,0,1,2,0
15,south,1,2,1,0
16,north,1,1,2,1
17,south,0,2,1,1
18,north,1,1,2,1
19,south,0,2,1,1
20,north,1,1,2,1
21,south,1,2,1,0
22,north,0,1,2,0
23,south,0,2,1,1
24,north,0,1,2,0
25,south,0,2,1,1
26,south,0,3,2,0
27,north,0,2,3,1
28,north,1,1,2,1
29,south,1,2,1,0
30,north,0,1,2,0
31,south,0,2,1,1
32,north,0,1,2,0
