,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",1.0498221245,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.099644249,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [0, 1]]","[[0, 0], [0, 1]]",2.16317201238,"[[0, -1, -1], [0, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [0, 0, 1]]","[[0, 0, 0], [0, 0, 1]]",3.41299413687,"[[-1, 0, -1, -1], [0, 0, 1, -1], [1, 2, 3, -1]]"
4,"[[0, 0, 1, 1], [0, 0, 0, 1]]","[[1, 1, 0, 0], [0, 0, 0, 1]]",4.46281626137,"[[1, -1, 0, -1, -1], [-1, 0, 0, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[0, 1, 1, 1], [0, 0, 0, 1]]","[[1, 0, 0, 0], [0, 0, 0, 1]]",4.32634402475,"[[1, 0, 0, -1, -1, -1], [-1, 0, 0, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[0, 1, 0, 1, 1], [0, 0, 0, 1, 1]]","[[1, 0, 1, 0, 0], [0, 0, 0, 1, 1]]",5.57616614925,"[[1, 0, 1, -1, -1, -1, -1], [-1, 0, 0, 1, 1, -1, -1], [0, 1, 2, 2, 3, -1, -1]]"
7,"[[0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1]]","[[1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 1]]",6.62598827375,"[[1, 0, -1, 1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1]]"
8,"[[0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1]]","[[1, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1]]",6.48951603713,"[[1, 0, -1, 1, 1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1]]"
9,"[[0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]","[[1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1]]",6.15304380051,"[[1, 0, -1, 1, 1, 1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1, -1]]"
10,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1]]","[[1, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1, 1]]",7.40286592501,"[[1, 0, -1, 1, 1, 1, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, 4, -1, -1, -1, -1]]"
11,"[[0, 1, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0, 1]]","[[1, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 1]]",8.8526880495,"[[1, 0, -1, 1, 1, 0, -1, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 0, 1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, 3, 4, -1, -1, -1, -1]]"
