,Action,Error,New_y_State,Previous_y_State,User_Response
0,south,0,1,0,1
1,south,0,2,1,1
2,south,0,3,2,0
3,north,1,2,3,0
4,south,0,3,2,0
5,north,0,2,3,1
6,north,0,1,2,0
7,south,1,2,1,0
8,north,1,1,2,1
9,south,0,2,1,1
10,north,1,1,2,1
11,south,0,2,1,1
12,north,0,1,2,0
13,south,0,2,1,1
14,south,0,3,2,0
15,north,0,2,3,1
16,north,0,1,2,0
17,south,0,2,1,1
