,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[0], [0]]","[[1], [0]]",0.694147680894,"[[1], [-1]]"
1,"[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",1.38829536179,"[[1, 1], [-1, -1], [0, 1]]"
2,"[[0, 0, 1], [0, 0, 1]]","[[1, 1, 0], [0, 0, 1]]",3.28244304268,"[[1, 1, 0], [-1, -1, -1], [0, 1, 2]]"
3,"[[0, 0, 1, 1], [0, 0, 0, 0]]","[[1, 1, 0, 0], [0, 0, 0, 0]]",4.57659072357,"[[1, 1, 0, -1], [-1, -1, -1, 0], [0, 1, 2, 3]]"
4,"[[0, 0, 1, 1], [0, 0, 1, 0]]","[[1, 1, 0, 0], [0, 0, 1, 0]]",4.48444404335,"[[1, 1, 0, -1, -1], [-1, -1, 1, 0, -1], [0, 1, 2, 3, -1]]"
5,"[[0, 0, 1, 1], [0, 0, 1, 0]]","[[1, 1, 0, 0], [0, 0, 1, 0]]",3.79229736312,"[[1, 1, 0, 0, -1, -1], [-1, -1, 1, 0, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 0]]","[[1, 1, 0, 0, 0], [0, 0, 0, 1, 0]]",5.08644504401,"[[1, 1, 0, -1, 0, -1, -1], [-1, -1, 0, 1, 0, -1, -1], [0, 1, 2, 2, 3, -1, -1]]"
7,"[[0, 1, 1, 1, 1], [0, 0, 0, 1, 0]]","[[1, 0, 0, 0, 0], [0, 0, 0, 1, 0]]",4.99429836379,"[[1, 0, 0, -1, 0, -1, -1, -1], [-1, 0, 0, 1, 0, -1, -1, -1], [0, 1, 2, 2, 3, -1, -1, -1]]"
8,"[[0, 1, 1, 1, 1], [0, 0, 0, 1, 0]]","[[1, 0, 0, 0, 0], [0, 0, 0, 1, 0]]",4.30215168356,"[[1, 0, 0, 0, 0, -1, -1, -1, -1], [-1, 0, 0, 1, 0, -1, -1, -1, -1], [0, 1, 2, 2, 3, -1, -1, -1, -1]]"
9,"[[0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0]]","[[1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0]]",6.19629936446,"[[1, 0, 1, 0, 0, 0, -1, -1, -1, -1], [-1, 0, -1, 0, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 3, -1, -1, -1, -1]]"
10,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0]]","[[1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0]]",6.89044704535,"[[1, 0, 1, 0, 0, -1, 0, -1, -1, -1, -1], [-1, 0, -1, 0, 1, 1, 0, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1]]"
11,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0]]","[[1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0]]",6.19830036512,"[[1, 0, 1, 0, 0, -1, 0, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1, -1]]"
12,"[[0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0]]","[[1, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0]]",4.9061536849,"[[1, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 1, 1, 2, 2, 2, 3, -1, -1, -1, -1, -1, -1]]"
