,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[0], [0]]","[[1], [0]]",1.0498221245,"[[1], [-1]]"
1,"[[0, 1], [1, 1]]","[[1, 0], [1, 1]]",2.499644249,"[[1, 0], [-1, -1], [1, 2]]"
2,"[[0, 1, 1], [1, 1, 1]]","[[1, 0, 0], [1, 1, 1]]",3.5494663735,"[[1, 0, -1], [-1, -1, 1], [1, 2, 3]]"
3,"[[0, 1, 1], [0, 0, 1]]","[[1, 0, 0], [0, 0, 1]]",3.41299413687,"[[1, 0, -1, -1], [-1, 0, 1, -1], [1, 2, 3, -1]]"
4,"[[0, 1, 1], [0, 0, 1]]","[[1, 0, 0], [0, 0, 1]]",3.07652190025,"[[1, 0, -1, -1, -1], [0, 0, 1, -1, -1], [1, 2, 3, -1, -1]]"
5,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",4.12634402475,"[[1, 0, -1, -1, -1, -1], [0, 0, 1, 1, -1, -1], [1, 2, 2, 3, -1, -1]]"
6,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",3.78987178813,"[[1, 0, -1, 0, -1, -1, -1], [0, 0, 1, 1, -1, -1, -1], [1, 2, 2, 3, -1, -1, -1]]"
